,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
46,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
47,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
48,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
49,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
50,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
51,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
52,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
53,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
54,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
55,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
56,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
57,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
58,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
59,31,31,0.0,9.845e-06,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
60,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
61,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
62,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
63,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
64,31,31,0.0,1.969e-05,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,5.080363006826238,8.072338331638527,-1.0017023303527443e+305,31,now,pretx,now
