,ind1,ind2,dist,div,x_x,y_x,z_x,ind_x,time_x,group_x,x_y,y_y,z_y,ind_y,time_y,group_y,temp
38,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
39,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
40,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
41,31,31,0.0,8.44e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
42,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
43,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
44,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
45,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
46,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
47,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
48,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
49,31,31,0.0,4.22e-06,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,15.345299674896326,6.753100938018656,12469833.0,31,now,pretx,now
