vcf_label	tskit_id	slim_id	birth_time_ago	age	x	y
tsk_248	248	253982	31.0	1	8.527191115793768	7.21461312842961
tsk_244	244	253929	31.0	1	2.203989901726441	3.736646306756985
tsk_361	361	254336	30.0	0	1.5592096887528575	5.580690400698793
tsk_205	205	253697	32.0	2	0.8176021438775358	6.242487136593617
tsk_240	240	253923	31.0	1	1.2863369610928868	4.518371570052806
tsk_43	43	260498	1.0	1	3.1496803848949932	8.391596202519198
tsk_71	71	260629	1.0	1	7.782048740499397	4.997646974799799
tsk_170	170	260872	0.0	0	3.6908489079308056	7.107218757576668
tsk_21	21	260308	2.0	2	3.2394738589889363	5.157622788165986
tsk_6	6	260109	3.0	3	3.8580057572860835	6.212798357810968
tsk_68	68	260608	1.0	1	1.1353005476727749	3.8436142418214945
tsk_150	150	260811	0.0	0	8.959078029522049	5.337273559857121
tsk_43	43	260498	1.0	1	3.1496803848949932	8.391596202519198
tsk_136	136	260779	0.0	0	1.8024146318855907	6.5266105481292485
tsk_160	160	260835	0.0	0	0.15023187553017942	7.477687426432686
tsk_60	60	260571	1.0	1	2.4358624631994563	6.177772499487828
tsk_100	100	260704	0.0	0	0.7778966377321181	4.18522794131064
tsk_11	11	260186	3.0	3	1.6039416822893588	4.614463804725585
tsk_1	1	259662	5.0	5	1.7707575012250725	3.398035631407389
tsk_41	41	260496	1.0	1	2.156665564405741	5.1427617522297595
tsk_26	26	260346	2.0	2	2.299934089882858	5.0811516884176315
tsk_37	37	260476	1.0	1	3.510380118959719	5.6553342565266504
tsk_169	169	260867	0.0	0	7.7984344494276865	5.259670025589845
tsk_56	56	260552	1.0	1	2.550754918772328	7.269885100292161
tsk_39	39	260492	1.0	1	3.99321047234054	3.9746162661267492
tsk_160	160	260835	0.0	0	0.15023187553017942	7.477687426432686
tsk_35	35	260465	1.0	1	1.3280510321018024	5.571815384939897
tsk_23	23	260311	2.0	2	1.8469661382983182	7.74595478798598
tsk_106	106	260718	0.0	0	2.8257798567089063	2.46646168402053
tsk_29	29	260406	2.0	2	0.7561032703156145	7.8131667679835815
tsk_42	42	260497	1.0	1	2.5856414342278113	5.928965104485849
tsk_166	166	260853	0.0	0	8.127271768258085	4.568828940619156
tsk_4	4	259942	4.0	4	3.0526273303072204	4.383194422280633
tsk_93	93	260688	0.0	0	0.8113022790570004	8.556348962941476
tsk_32	32	260453	2.0	2	7.7861209296407266	3.5557940450426244
tsk_50	50	260526	1.0	1	9.133755187007496	5.544856564042524
tsk_85	85	260675	0.0	0	1.5924509294996778	3.039056574847215
tsk_27	27	260372	2.0	2	3.302351135963236	2.8130613851449056
tsk_161	161	260841	0.0	0	1.7564250189269925	7.0217757116753186
tsk_104	104	260709	0.0	0	7.883510998524996	3.117421015047616
tsk_91	91	260685	0.0	0	1.1843020820574184	1.9050284867663743
tsk_162	162	260844	0.0	0	0.6970720733072556	1.1664206986040702
tsk_0	0	259466	6.0	6	1.3000232195306418	5.128021980850796
tsk_139	139	260789	0.0	0	9.835004000374841	3.31702460242679
tsk_62	62	260577	1.0	1	0.8349059522743901	4.539153740764947
tsk_118	118	260740	0.0	0	2.4761556279701913	7.820925768177227
tsk_113	113	260733	0.0	0	1.4704059232692124	7.805593784424857
