vcf_label	tskit_id	slim_id	birth_time_ago	age	x	y
tsk_41	41	260496	1.0	1	2.156665564405741	5.1427617522297595
tsk_133	133	260773	0.0	0	1.2108939578861988	6.604057656923043
tsk_7	7	260140	3.0	3	1.5527807039165844	5.412648543024933
tsk_4	4	259942	4.0	4	3.0526273303072204	4.383194422280633
tsk_144	144	260796	0.0	0	4.3284892879187575	4.666276265286632
tsk_102	102	260707	0.0	0	1.730033414872137	4.5827747982546025
tsk_9	9	260169	3.0	3	2.6621316645784114	2.2617620798180487
tsk_56	56	260552	1.0	1	2.550754918772328	7.269885100292161
tsk_48	48	260512	1.0	1	3.682015795322333	2.553189119943078
tsk_111	111	260723	0.0	0	3.699313501978587	8.49192723989348
tsk_171	171	260876	0.0	0	0.6065273172936708	1.7698462514760194
tsk_62	62	260577	1.0	1	0.8349059522743901	4.539153740764947
tsk_31	31	260452	2.0	2	2.7094075904568387	5.847279715051849
tsk_130	130	260768	0.0	0	3.7557719901225513	3.6300069008123916
tsk_0	0	259466	6.0	6	1.3000232195306418	5.128021980850796
tsk_15	15	260274	2.0	2	0.7400172314368403	5.801854187350728
tsk_32	32	260453	2.0	2	7.7861209296407266	3.5557940450426244
tsk_176	176	260886	0.0	0	0.7335566019862291	6.001843708258602
tsk_15	15	260274	2.0	2	0.7400172314368403	5.801854187350728
tsk_61	61	260575	1.0	1	2.096467791118229	5.318989833890147
tsk_130	130	260768	0.0	0	3.7557719901225513	3.6300069008123916
tsk_34	34	260460	1.0	1	1.9629664055215186	4.228057194458661
tsk_22	22	260309	2.0	2	3.3565750519337465	1.7337757411233021
tsk_170	170	260872	0.0	0	3.6908489079308056	7.107218757576668
tsk_66	66	260603	1.0	1	9.16425883030327	4.200068661850633
tsk_104	104	260709	0.0	0	7.883510998524996	3.117421015047616
tsk_89	89	260681	0.0	0	0.9758582180206544	4.296099749186998
tsk_129	129	260767	0.0	0	3.00675820060185	3.8660169003672444
